Insured,Num_Vehicles,Num_Drivers,Marital,Bid,Rank,Click,Policies_sold
U,2,2,S,10,3,N,0
N,3,1,S,10,5,N,0
N,3,2,M,10,4,N,0
Y,2,2,S,10,5,N,0
Y,3,1,M,10,3,N,0
Y,1,2,M,10,2,N,0
N,2,1,M,10,4,N,0
N,2,2,M,10,4,N,0
N,1,1,S,10,3,N,0
N,3,2,S,10,5,N,0
N,1,1,M,10,3,Y,0
N,1,1,S,10,5,N,0
Y,2,2,S,10,5,N,0
N,2,2,S,10,3,N,0
U,1,1,S,10,1,Y,1
Y,1,2,M,10,4,N,0
Y,3,1,S,10,4,N,0
N,3,1,S,10,5,N,0
N,2,1,M,10,5,N,0
N,3,2,M,10,3,N,0
U,1,2,S,10,2,Y,1
N,2,1,M,10,5,N,0
N,1,2,M,10,3,N,0
N,1,1,S,10,2,N,0
Y,2,1,M,10,3,N,0
N,3,2,M,10,4,N,0
N,1,2,M,10,3,N,0
N,2,1,M,10,5,N,0
Y,1,2,M,10,4,N,0
N,1,1,M,10,3,N,0
Y,1,2,S,10,2,N,0
U,1,1,S,10,2,N,0
Y,1,2,S,10,3,N,0
N,1,2,S,10,3,N,0
U,2,2,S,10,2,N,0
Y,3,2,S,10,5,Y,0
U,3,1,S,10,3,Y,0
N,3,2,M,10,4,N,0
Y,3,2,M,10,4,N,0
U,1,2,S,10,2,N,0
U,3,1,M,10,2,N,0
Y,1,2,M,10,1,Y,1
N,3,1,S,10,5,Y,0
Y,2,2,S,10,4,N,0
Y,1,1,M,10,3,N,0
Y,1,2,M,10,2,N,0
U,3,2,M,10,1,Y,1
Y,1,2,S,10,4,N,0
N,3,2,M,10,5,N,0
N,1,2,M,10,4,N,0
Y,1,2,S,10,2,N,0
Y,2,1,M,10,5,N,0
U,1,2,S,10,3,N,0
U,3,2,M,10,2,Y,1
Y,1,2,M,10,3,N,0
Y,3,1,M,10,4,N,0
N,1,2,M,10,2,N,0
Y,1,2,S,10,3,N,0
N,1,1,S,10,3,N,0
N,2,2,M,10,3,N,0
Y,1,1,S,10,3,N,0
Y,1,1,S,10,2,Y,1
N,1,2,M,10,3,N,0
U,1,2,S,10,1,N,0
Y,1,1,M,10,4,N,0
Y,1,2,S,10,4,N,0
U,2,2,S,10,2,Y,0
Y,1,2,M,10,1,Y,0
U,2,1,M,10,1,Y,1
U,2,2,M,10,1,Y,1
Y,3,1,S,10,4,N,0
N,2,1,S,10,5,N,0
U,1,2,M,10,1,N,0
N,3,1,S,10,5,N,0
U,3,1,S,10,1,N,0
Y,2,1,S,10,3,N,0
Y,2,2,S,10,5,N,0
N,2,1,S,10,5,N,0
U,3,1,M,10,3,N,0
Y,3,2,S,10,4,N,0
N,1,1,M,10,4,N,0
Y,1,2,S,10,1,N,0
Y,3,2,S,10,3,Y,0
N,3,2,S,10,5,N,0
U,3,2,M,10,1,Y,0
U,2,1,S,10,1,N,0
Y,2,2,M,10,5,N,0
Y,1,2,M,10,2,N,0
Y,1,2,S,10,4,N,0
U,1,2,M,10,2,N,0
U,3,2,M,10,3,N,0
U,3,1,M,10,4,N,0
U,3,2,M,10,1,N,0
N,3,2,S,10,3,Y,1
N,2,1,S,10,5,N,0
N,2,2,S,10,5,N,0
Y,1,2,S,10,3,N,0
U,1,2,M,10,3,N,0
Y,2,1,M,10,4,N,0
Y,2,1,M,10,3,N,0
N,1,2,M,10,2,N,0
Y,2,2,S,10,4,N,0
U,3,2,M,10,4,N,0
N,2,2,M,10,2,Y,1
U,1,1,M,10,1,Y,1
U,1,2,S,10,2,N,0
N,2,2,S,10,3,N,0
Y,1,1,S,10,3,N,0
Y,2,2,M,10,5,N,0
Y,2,2,M,10,5,N,0
Y,2,1,M,10,5,N,0
Y,3,2,M,10,5,N,0
N,1,2,S,10,4,N,0
U,1,1,S,10,1,N,0
N,2,2,M,10,3,N,0
U,1,2,M,10,3,N,0
U,2,2,M,10,3,N,0
N,2,1,S,10,4,N,0
U,2,2,S,10,2,N,0
Y,3,1,S,10,3,Y,0
U,2,1,S,10,1,Y,0
N,2,2,S,10,3,N,0
U,1,1,S,10,1,N,0
Y,1,2,S,10,4,N,0
Y,3,2,M,10,5,N,0
Y,2,1,S,10,3,N,0
U,2,2,S,10,2,N,0
Y,1,1,M,10,5,N,0
Y,1,2,M,10,3,Y,0
U,3,1,S,10,1,N,0
Y,1,1,S,10,4,N,0
U,2,2,S,10,1,Y,1
N,1,1,M,10,5,N,0
U,1,1,S,10,2,Y,1
N,1,1,S,10,5,N,0
N,3,2,M,10,5,N,0
Y,3,1,S,10,3,N,0
N,1,1,S,10,3,N,0
N,2,1,M,10,5,N,0
N,1,1,M,10,5,N,0
N,1,2,M,10,2,N,0
N,2,2,S,10,5,N,0
Y,1,1,M,10,4,N,0
N,1,2,S,10,2,N,0
Y,2,2,S,10,5,N,0
Y,1,2,S,10,1,N,0
N,1,1,M,10,3,N,0
Y,2,1,S,10,5,N,0
N,2,2,S,10,4,N,0
U,2,1,S,10,1,N,0
Y,3,2,S,10,4,N,0
Y,1,2,M,10,4,N,0
U,3,1,S,10,2,N,0
U,1,2,S,10,2,N,0
U,1,2,S,10,1,N,0
U,1,2,M,10,2,Y,1
Y,3,1,M,10,5,N,0
N,1,1,S,10,4,N,0
N,1,2,S,10,3,N,0
Y,2,2,M,10,4,N,0
N,1,2,S,10,4,N,0
N,3,1,M,10,4,N,0
U,3,1,M,10,3,N,0
Y,2,2,M,10,3,N,0
N,3,1,S,10,4,N,0
U,2,2,S,10,1,N,0
U,3,1,M,10,3,N,0
Y,2,1,S,10,4,N,0
Y,1,1,S,10,4,N,0
N,3,2,S,10,3,N,0
U,3,2,M,10,3,Y,1
N,2,2,M,10,4,N,0
N,2,2,S,10,4,N,0
Y,2,2,M,10,5,N,0
Y,2,1,M,10,4,N,0
Y,2,1,S,10,5,N,0
N,2,2,S,10,3,N,0
N,3,2,M,10,5,N,0
U,1,1,M,10,1,Y,1
Y,2,1,M,10,5,N,0
Y,2,2,M,10,5,N,0
Y,2,1,M,10,5,N,0
N,2,1,S,10,5,N,0
U,1,1,M,10,1,N,0
U,3,1,S,10,2,N,0
N,3,1,S,10,5,N,0
N,2,2,S,10,2,N,0
U,3,1,M,10,2,Y,0
U,3,1,M,10,3,Y,1
U,3,1,S,10,2,N,0
U,1,2,M,10,3,N,0
N,2,2,M,10,3,N,0
Y,2,1,M,10,5,N,0
U,2,1,S,10,1,Y,0
Y,1,1,S,10,1,Y,1
U,1,1,M,10,3,N,0
Y,1,2,S,10,2,N,0
N,3,2,S,10,5,Y,1
Y,2,1,M,10,4,N,0
U,2,1,M,10,1,N,0
N,2,2,S,10,3,N,0
Y,2,2,S,10,4,N,0
U,1,2,S,10,3,N,0
Y,2,1,M,10,5,N,0
Y,1,2,S,10,2,N,0
U,2,2,S,10,3,N,0
U,1,1,S,10,2,N,0
N,2,2,M,10,4,N,0
N,2,1,M,10,4,N,0
U,2,2,M,10,2,N,0
N,1,2,S,10,3,N,0
U,2,1,M,10,3,N,0
Y,1,2,S,10,1,Y,1
U,2,1,S,10,2,Y,0
Y,2,1,M,10,4,N,0
U,3,2,M,10,2,N,0
N,2,1,S,10,5,N,0
N,1,2,S,10,1,Y,0
Y,1,2,S,10,3,Y,0
U,2,2,S,10,1,Y,0
N,1,1,M,10,5,N,0
Y,3,1,S,10,5,N,0
N,3,2,M,10,4,N,0
N,1,1,M,10,3,N,0
N,3,2,S,10,4,N,0
Y,3,1,M,10,4,N,0
Y,3,1,M,10,3,N,0
N,1,1,M,10,3,N,0
N,3,2,S,10,4,N,0
Y,1,1,M,10,2,N,0
N,1,2,M,10,3,N,0
N,2,2,M,10,5,N,0
N,1,1,S,10,3,N,0
N,2,1,S,10,3,N,0
N,3,2,M,10,3,N,0
N,2,1,M,10,5,N,0
N,1,1,M,10,3,N,0
U,3,2,M,10,1,N,0
U,1,1,S,10,2,N,0
Y,1,1,S,10,2,Y,1
U,3,1,S,10,3,N,0
U,3,1,M,10,1,N,0
N,2,2,M,10,4,N,0
N,1,2,S,10,3,N,0
N,1,2,S,10,3,N,0
N,3,2,S,10,3,N,0
Y,3,2,S,10,5,N,0
Y,3,1,S,10,3,Y,1
N,1,2,S,10,2,N,0
N,1,2,M,10,1,Y,1
U,2,2,S,10,3,N,0
Y,3,2,M,10,4,N,0
U,1,2,M,10,2,N,0
U,3,1,S,10,3,N,0
Y,1,2,S,10,2,N,0
N,1,1,S,10,2,Y,0
N,1,2,M,10,1,N,0
U,1,2,S,10,2,N,0
U,1,2,S,10,2,N,0
U,1,1,M,10,1,N,0
Y,1,1,M,10,3,N,0
N,1,2,S,10,4,Y,1
U,2,1,S,10,1,Y,0
N,1,1,M,10,4,N,0
Y,1,1,S,10,4,N,0
U,1,1,S,10,2,N,0
N,1,2,S,10,4,N,0
Y,2,2,S,10,5,N,0
Y,2,1,M,10,5,N,0
Y,3,2,S,10,5,N,0
U,1,1,M,10,1,N,0
U,3,2,M,10,3,N,0
N,3,1,S,10,5,N,0
N,3,2,M,10,5,N,0
Y,3,1,M,10,5,N,0
U,1,2,M,10,1,N,0
U,1,2,S,10,2,N,0
Y,2,1,M,10,4,Y,0
N,1,2,S,10,1,Y,0
Y,3,2,M,10,5,N,0
N,3,1,M,10,5,N,0
Y,2,1,S,10,3,N,0
U,2,2,S,10,2,N,0
U,1,1,M,10,2,N,0
Y,1,1,S,10,2,N,0
N,3,1,M,10,4,N,0
U,2,2,M,10,3,N,0
U,1,2,M,10,2,N,0
N,2,2,S,10,3,N,0
Y,2,2,M,10,5,N,0
Y,1,2,S,10,1,N,0
Y,2,1,S,10,5,N,0
Y,3,1,M,10,5,N,0
N,3,1,M,10,5,N,0
N,3,2,M,10,4,N,0
N,3,2,M,10,5,N,0
N,1,2,S,10,2,Y,1
N,2,1,M,10,3,N,0
Y,3,2,M,10,5,N,0
N,1,1,M,10,5,N,0
N,2,2,M,10,2,N,0
N,2,1,M,10,4,N,0
Y,2,1,M,10,5,N,0
N,3,1,S,10,4,N,0
U,1,2,S,10,1,Y,1
U,3,2,M,10,4,Y,1
N,2,2,M,10,5,N,0
Y,2,2,S,10,4,N,0
Y,3,2,S,10,3,N,0
Y,3,2,M,10,5,N,0
U,2,1,M,10,2,N,0
N,1,1,S,10,4,Y,0
Y,3,1,M,10,4,N,0
N,3,1,M,10,4,N,0
Y,3,2,S,10,4,N,0
Y,1,1,M,10,2,Y,0
Y,3,2,M,10,5,N,0
U,2,1,S,10,3,N,0
N,2,1,M,10,4,Y,0
N,2,2,M,10,4,N,0
Y,2,1,M,10,3,Y,0
N,2,2,S,10,4,N,0
U,3,1,S,10,4,N,0
Y,2,2,S,10,5,N,0
U,1,1,S,10,2,Y,0
N,2,1,M,10,3,N,0
U,1,2,M,10,1,N,0
N,3,2,M,10,4,N,0
N,2,1,M,10,5,N,0
N,2,2,S,10,3,Y,0
N,2,2,S,10,2,N,0
Y,1,2,M,10,4,N,0
U,1,1,M,10,1,N,0
U,1,1,S,10,2,N,0
N,1,2,S,10,2,N,0
N,1,2,M,10,2,Y,1
U,1,1,M,10,1,Y,0
Y,3,1,M,10,5,N,0
N,3,2,M,10,4,N,0
U,2,2,M,10,2,N,0
N,2,1,M,10,5,N,0
U,3,1,M,10,3,N,0
U,1,2,S,10,1,Y,1
Y,1,2,M,10,2,N,0
U,1,2,S,10,1,N,0
U,2,2,M,10,2,N,0
Y,2,1,S,10,5,N,0
N,2,2,S,10,4,N,0
N,3,2,M,10,5,N,0
Y,1,1,S,10,1,Y,1
N,1,1,S,10,3,Y,1
U,2,1,M,10,1,Y,0
N,2,2,M,10,4,N,0
N,1,2,S,10,2,Y,0
N,3,1,S,10,4,N,0
N,2,2,M,10,3,N,0
N,3,1,M,10,4,N,0
U,3,2,M,10,3,N,0
U,3,2,M,10,3,N,0
N,1,2,S,10,2,N,0
N,3,1,S,10,4,N,0
U,2,2,M,10,3,N,0
N,1,1,S,10,3,N,0
U,3,1,S,10,3,N,0
Y,3,1,S,10,3,N,0
Y,2,1,S,10,4,N,0
Y,1,2,S,10,3,Y,0
U,2,1,S,10,1,N,0
N,2,2,S,10,5,N,0
N,1,1,S,10,4,N,0
N,1,1,M,10,4,N,0
Y,3,2,M,10,5,N,0
N,1,1,S,10,2,Y,0
Y,1,1,S,10,3,N,0
Y,1,2,M,10,1,Y,1
N,1,2,M,10,3,N,0
N,3,2,M,10,3,N,0
U,1,2,M,10,1,N,0
Y,2,2,S,10,4,N,0
N,2,1,S,10,5,N,0
N,3,1,M,10,3,N,0
Y,3,2,M,10,5,N,0
Y,2,2,M,10,4,N,0
U,1,2,S,10,3,N,0
Y,2,2,S,10,5,N,0
N,2,1,M,10,5,N,0
U,1,1,M,10,1,Y,0
Y,2,2,S,10,5,N,0
U,1,2,S,10,1,Y,0
U,2,1,M,10,2,Y,1
Y,2,2,M,10,5,N,0
U,1,2,M,10,3,N,0
Y,3,2,S,10,5,N,0
N,1,1,S,10,5,N,0
N,1,2,M,10,1,Y,0
U,1,1,S,10,3,N,0
N,3,2,S,10,4,Y,0
Y,1,1,S,10,4,N,0
U,1,1,M,10,2,N,0
N,2,1,S,10,5,N,0
U,2,1,M,10,1,N,0
Y,1,2,M,10,3,N,0
U,2,1,M,10,1,N,0
U,2,2,M,10,3,N,0
Y,1,1,S,10,2,N,0
N,2,2,M,10,4,N,0
N,3,2,S,10,3,N,0
N,3,1,S,10,5,N,0
N,1,1,M,10,3,N,0
Y,1,1,M,10,4,N,0
N,1,2,M,10,2,Y,1
Y,2,2,M,10,5,N,0
Y,2,2,M,10,5,N,0
U,2,2,S,10,3,N,0
N,1,1,M,10,2,N,0
U,1,2,M,10,2,Y,0
N,1,2,M,10,2,N,0
U,1,2,S,10,1,Y,0
N,3,2,S,10,4,N,0
Y,2,2,M,10,5,N,0
N,1,1,M,10,4,N,0
Y,1,1,M,10,3,Y,0
N,2,2,S,10,5,N,0
U,2,1,S,10,1,N,0
U,3,1,M,10,3,N,0
U,1,2,S,10,1,Y,1
Y,1,2,M,10,1,Y,0
Y,1,2,S,10,1,N,0
U,1,2,S,10,3,N,0
N,3,1,S,10,5,Y,0
U,2,1,S,10,3,N,0
Y,2,2,S,10,5,N,0
U,1,2,M,10,2,N,0
Y,1,2,M,10,2,Y,1
N,2,2,S,10,5,N,0
U,2,1,M,10,3,N,0
N,3,1,S,10,3,N,0
Y,2,1,S,10,3,N,0
U,1,1,M,10,1,Y,0
N,1,1,M,10,4,N,0
Y,2,2,S,10,3,N,0
U,2,2,S,10,3,N,0
N,2,2,M,10,2,Y,1
U,2,2,S,10,1,Y,1
U,3,2,M,10,2,Y,1
N,2,1,M,10,5,N,0
Y,2,1,S,10,3,N,0
Y,1,1,M,10,2,Y,1
Y,1,1,S,10,4,N,0
U,2,2,M,10,1,Y,0
N,1,1,S,10,2,Y,1
U,1,2,M,10,3,Y,1
N,3,1,S,10,4,N,0
U,2,2,S,10,2,N,0
Y,2,1,S,10,5,N,0
N,2,1,S,10,5,N,0
N,3,1,S,10,5,N,0
Y,2,1,M,10,5,N,0
N,1,2,S,10,3,N,0
Y,3,2,S,10,4,N,0
N,3,1,S,10,3,N,0
N,1,1,S,10,4,N,0
Y,3,2,S,10,4,N,0
Y,1,1,M,10,4,N,0
Y,3,1,M,10,3,N,0
N,1,1,M,10,4,N,0
U,1,2,M,10,1,N,0
U,2,2,M,10,1,Y,1
U,3,2,M,10,2,Y,0
N,3,1,M,10,5,N,0
Y,3,2,M,10,3,N,0
N,2,1,S,10,5,N,0
N,3,2,S,10,5,N,0
U,3,1,M,10,3,N,0
Y,3,1,M,10,5,N,0
Y,2,2,M,10,3,N,0
N,2,1,S,10,4,N,0
N,1,1,S,10,3,N,0
Y,3,2,M,10,5,N,0
U,2,2,S,10,1,Y,0
Y,1,2,S,10,4,N,0
Y,1,1,M,10,3,N,0
N,3,1,M,10,4,N,0
U,2,1,S,10,2,Y,1
U,3,1,M,10,3,N,0
Y,1,1,M,10,5,Y,0
U,3,1,S,10,3,N,0
N,1,2,M,10,3,Y,0
Y,2,1,M,10,4,N,0
Y,1,2,S,10,3,N,0
Y,3,2,S,10,5,N,0
Y,2,2,S,10,4,N,0
Y,2,2,M,10,5,N,0
Y,1,2,M,10,1,Y,0
Y,1,2,S,10,4,N,0
Y,1,2,M,10,4,N,0
U,1,1,M,10,1,N,0
U,1,2,S,10,2,N,0
U,2,2,M,10,2,N,0
Y,3,1,M,10,5,N,0
U,2,1,S,10,2,Y,0
Y,3,1,M,10,4,N,0
Y,1,1,M,10,2,N,0
Y,1,2,M,10,3,Y,0
Y,2,2,S,10,4,N,0
U,1,2,M,10,3,N,0
N,1,1,S,10,5,N,0
N,1,1,M,10,2,N,0
U,2,1,M,10,1,N,0
N,1,1,S,10,3,N,0
Y,2,2,S,10,4,N,0
Y,3,2,M,10,3,N,0
U,2,2,S,10,2,Y,0
N,3,2,M,10,5,N,0
U,2,2,M,10,1,N,0
N,3,2,M,10,5,N,0
N,1,1,M,10,4,N,0
N,2,2,M,10,3,N,0
N,1,1,S,10,3,N,0
U,3,1,S,10,3,N,0
N,2,1,M,10,5,N,0
N,1,1,S,10,2,N,0
N,3,2,M,10,5,N,0
Y,1,2,S,10,3,N,0
U,1,2,S,10,1,N,0
U,3,1,M,10,3,N,0
N,1,2,S,10,4,N,0
U,2,2,S,10,2,Y,1
U,3,2,M,10,1,N,0
U,2,1,S,10,1,N,0
Y,1,1,M,10,3,N,0
N,1,2,M,10,4,N,0
N,2,2,M,10,4,N,0
N,1,1,M,10,5,N,0
N,2,2,S,10,2,N,0
N,2,2,S,10,3,N,0
Y,1,1,M,10,4,N,0
U,3,1,S,10,4,Y,0
N,2,2,S,10,4,N,0
U,2,2,M,10,1,N,0
U,2,2,M,10,1,N,0
Y,3,1,S,10,4,N,0
Y,1,1,S,10,3,N,0
N,2,2,M,10,5,N,0
N,2,2,S,10,5,N,0
Y,1,1,S,10,2,Y,1
U,3,2,M,10,2,N,0
N,2,1,M,10,5,N,0
U,3,1,M,10,1,Y,0
N,1,1,M,10,3,N,0
U,2,2,S,10,1,Y,1
Y,1,1,S,10,3,N,0
N,3,2,S,10,4,N,0
Y,2,2,M,10,4,N,0
U,1,2,M,10,1,Y,1
Y,1,2,M,10,2,N,0
Y,1,1,S,10,1,Y,0
U,3,1,S,10,3,N,0
Y,1,1,S,10,3,N,0
N,1,2,M,10,2,N,0
N,1,1,M,10,2,N,0
U,3,1,S,10,2,N,0
N,3,2,S,10,3,Y,0
N,2,2,S,10,4,N,0
Y,1,2,M,10,2,N,0
Y,2,1,S,10,5,N,0
Y,3,2,M,10,5,N,0
Y,1,2,S,10,3,N,0
U,2,2,M,10,1,Y,0
N,3,2,S,10,4,N,0
Y,3,1,M,10,4,N,0
Y,2,1,M,10,5,N,0
N,1,2,S,10,3,N,0
Y,3,1,S,10,4,N,0
Y,2,2,S,10,4,N,0
N,2,1,M,10,5,N,0
Y,1,1,M,10,4,N,0
N,1,2,S,10,1,Y,1
N,1,2,M,10,1,N,0
N,1,1,M,10,2,N,0
U,1,1,M,10,2,Y,1
U,1,2,M,10,3,N,0
N,3,2,M,10,5,N,0
Y,3,1,M,10,5,N,0
U,2,2,M,10,1,Y,0
N,1,1,S,10,3,N,0
Y,3,1,S,10,5,N,0
N,3,1,M,10,5,N,0
U,3,1,S,10,2,N,0
Y,1,1,M,10,5,N,0
N,2,2,S,10,3,Y,0
N,1,2,M,10,3,N,0
N,1,1,M,10,2,N,0
N,1,2,S,10,1,Y,1
N,2,2,S,10,4,Y,0
U,1,1,M,10,2,Y,0
Y,1,1,M,10,5,N,0
Y,3,2,M,10,5,N,0
U,2,1,S,10,3,N,0
Y,3,2,S,10,4,N,0
U,3,1,M,10,1,N,0
N,2,1,M,10,4,N,0
U,3,2,M,10,1,Y,0
Y,3,1,S,10,5,N,0
U,2,2,S,10,2,N,0
Y,1,1,M,10,2,Y,1
Y,2,2,S,10,4,N,0
U,2,2,S,10,2,N,0
N,2,2,M,10,3,N,0
U,3,2,M,10,3,N,0
N,1,1,S,10,4,N,0
U,1,1,M,10,1,N,0
N,2,2,S,10,3,N,0
U,1,2,S,10,2,N,0
N,1,2,S,10,3,N,0
Y,1,2,S,10,2,N,0
U,1,1,M,10,1,Y,1
N,2,2,M,10,3,N,0
N,3,1,S,10,3,N,0
N,3,2,M,10,5,N,0
Y,1,1,M,10,5,N,0
N,2,1,S,10,5,N,0
N,3,1,S,10,3,N,0
U,2,2,M,10,1,Y,1
Y,3,1,S,10,4,Y,0
Y,3,2,M,10,5,N,0
U,2,1,S,10,3,N,0
U,2,1,M,10,1,N,0
Y,2,2,M,10,5,N,0
Y,2,1,M,10,5,N,0
Y,1,1,S,10,3,Y,0
U,3,1,M,10,3,N,0
Y,3,2,S,10,3,N,0
U,3,1,S,10,4,Y,0
N,3,1,M,10,3,Y,1
U,3,1,S,10,2,N,0
N,3,1,M,10,5,N,0
Y,2,2,S,10,5,N,0
Y,1,1,M,10,5,Y,0
U,1,1,S,10,1,Y,1
N,1,1,M,10,2,N,0
N,3,1,M,10,5,N,0
Y,3,1,M,10,5,N,0
U,1,2,M,10,3,N,0
Y,2,1,M,10,5,N,0
N,1,2,M,10,4,N,0
N,1,2,S,10,2,N,0
N,3,2,M,10,4,Y,1
U,1,1,M,10,3,Y,1
Y,2,2,S,10,5,N,0
U,3,1,M,10,4,N,0
N,1,2,S,10,1,Y,1
Y,1,1,M,10,3,N,0
N,1,1,S,10,3,N,0
Y,2,1,M,10,5,N,0
N,3,1,M,10,3,N,0
Y,2,2,S,10,5,N,0
U,2,2,M,10,3,N,0
U,3,1,M,10,4,N,0
Y,2,2,S,10,5,N,0
Y,3,1,M,10,3,N,0
U,2,1,M,10,2,N,0
Y,3,1,M,10,5,N,0
Y,1,2,M,10,1,Y,1
N,2,2,S,10,2,N,0
U,3,2,M,10,1,N,0
N,2,2,S,10,4,N,0
U,2,2,S,10,1,Y,0
U,2,2,M,10,1,N,0
U,1,2,M,10,1,N,0
N,3,1,S,10,5,N,0
U,3,2,M,10,1,Y,0
N,2,2,M,10,5,N,0
U,1,1,M,10,1,Y,0
U,3,1,M,10,2,N,0
Y,1,1,S,10,2,N,0
N,2,2,S,10,5,N,0
Y,1,1,S,10,3,Y,0
U,1,1,M,10,1,N,0
U,2,1,S,10,1,Y,0
U,2,1,M,10,1,N,0
U,3,1,M,10,2,N,0
Y,3,2,S,10,4,N,0
U,3,1,S,10,2,N,0
Y,1,1,S,10,4,N,0
U,1,1,M,10,1,Y,0
U,3,1,M,10,3,N,0
Y,2,2,M,10,4,N,0
U,2,1,M,10,2,N,0
Y,3,2,M,10,3,N,0
N,3,2,S,10,5,N,0
N,1,1,M,10,2,N,0
N,1,2,M,10,3,N,0
Y,3,1,S,10,4,N,0
Y,3,1,S,10,3,N,0
Y,1,2,M,10,3,N,0
N,2,2,S,10,4,N,0
Y,1,1,S,10,3,N,0
N,1,2,S,10,1,N,0
Y,2,1,M,10,3,Y,0
U,1,2,M,10,1,N,0
U,2,2,S,10,1,Y,1
N,2,2,S,10,5,N,0
U,1,2,S,10,1,N,0
N,1,2,M,10,4,N,0
U,2,2,M,10,2,N,0
N,1,2,M,10,1,Y,0
Y,1,1,M,10,3,N,0
Y,1,1,S,10,3,N,0
Y,2,2,S,10,3,N,0
U,3,2,M,10,3,Y,1
U,3,1,S,10,3,N,0
Y,1,2,M,10,3,N,0
Y,1,1,M,10,2,Y,1
N,2,2,S,10,4,N,0
U,1,2,S,10,1,N,0
U,1,2,M,10,2,N,0
N,1,2,S,10,1,Y,0
Y,2,2,M,10,5,N,0
U,2,2,S,10,1,Y,0
N,3,2,M,10,5,N,0
Y,3,1,M,10,5,N,0
U,2,1,S,10,2,N,0
Y,2,2,S,10,5,N,0
U,3,1,S,10,3,Y,0
U,1,1,M,10,1,N,0
Y,3,1,M,10,3,N,0
Y,2,2,M,10,5,N,0
N,1,1,M,10,2,N,0
Y,2,2,M,10,4,N,0
U,1,1,S,10,3,N,0
U,1,1,M,10,2,N,0
U,1,2,M,10,1,N,0
N,2,2,S,10,3,Y,1
N,1,2,S,10,1,N,0
N,2,1,S,10,4,N,0
U,2,1,M,10,3,N,0
U,3,2,M,10,2,N,0
U,2,2,M,10,1,N,0
U,1,1,M,10,2,N,0
U,1,1,M,10,1,Y,0
U,1,2,M,10,2,N,0
N,3,2,S,10,5,N,0
U,1,1,M,10,3,N,0
U,2,1,M,10,1,N,0
N,2,1,M,10,5,N,0
N,1,2,M,10,3,Y,0
U,2,2,M,10,1,N,0
Y,1,1,S,10,2,N,0
Y,1,2,S,10,2,N,0
Y,1,2,M,10,3,N,0
U,3,2,M,10,2,N,0
U,2,1,S,10,1,Y,0
U,1,1,S,10,1,N,0
Y,1,1,S,10,1,Y,1
N,3,1,S,10,4,N,0
U,3,2,M,10,4,N,0
Y,1,2,S,10,2,Y,0
N,1,2,M,10,3,N,0
N,2,1,S,10,3,Y,0
U,2,2,S,10,1,N,0
Y,2,1,M,10,4,N,0
U,2,1,M,10,1,N,0
U,2,1,S,10,3,N,0
U,3,2,M,10,4,N,0
Y,3,2,S,10,5,N,0
Y,1,2,S,10,4,N,0
Y,2,2,S,10,4,N,0
N,1,2,M,10,3,N,0
Y,3,2,S,10,5,N,0
U,1,1,M,10,1,Y,1
Y,1,2,M,10,2,N,0
Y,2,2,M,10,4,N,0
N,3,2,S,10,5,N,0
N,3,2,S,10,3,N,0
Y,1,1,M,10,4,N,0
U,1,2,M,10,3,N,0
N,1,2,M,10,3,N,0
Y,3,1,S,10,3,N,0
N,3,1,S,10,5,N,0
Y,1,2,M,10,1,N,0
N,3,2,M,10,5,N,0
Y,1,1,S,10,1,N,0
Y,2,2,S,10,3,N,0
U,3,2,M,10,1,Y,1
U,3,1,M,10,2,Y,0
U,1,1,S,10,1,Y,1
U,1,1,M,10,1,Y,1
Y,2,2,S,10,5,N,0
N,2,1,M,10,5,N,0
N,3,1,M,10,3,N,0
U,1,2,S,10,2,Y,0
N,2,1,S,10,5,N,0
Y,2,2,S,10,5,N,0
Y,1,2,M,10,3,Y,0
Y,3,2,S,10,5,N,0
N,3,2,M,10,4,N,0
Y,2,2,S,10,3,N,0
N,1,1,M,10,5,N,0
Y,2,2,M,10,4,N,0
Y,2,2,M,10,4,N,0
Y,3,1,M,10,5,N,0
Y,2,1,S,10,3,N,0
U,1,1,M,10,1,N,0
N,2,1,M,10,5,N,0
U,2,2,S,10,1,Y,0
N,1,1,M,10,2,N,0
N,2,2,S,10,4,Y,0
N,3,2,M,10,5,N,0
Y,3,1,S,10,3,N,0
U,3,1,S,10,3,N,0
U,2,2,M,10,3,N,0
U,2,2,S,10,3,N,0
Y,3,1,S,10,5,N,0
N,2,1,S,10,4,N,0
U,3,1,M,10,1,Y,0
U,3,1,S,10,3,Y,1
N,3,1,M,10,5,N,0
U,3,1,S,10,4,N,0
Y,1,1,S,10,2,N,0
N,2,2,M,10,3,N,0
Y,1,2,S,10,2,N,0
U,1,2,M,10,3,N,0
Y,2,2,M,10,3,N,0
Y,3,2,S,10,4,N,0
U,3,1,M,10,3,Y,1
U,1,2,M,10,1,Y,0
Y,1,1,M,10,3,N,0
U,1,2,M,10,2,N,0
N,1,2,M,10,1,N,0
N,2,2,S,10,4,Y,0
U,2,1,S,10,2,N,0
U,2,2,S,10,1,N,0
N,2,2,M,10,4,N,0
N,1,2,M,10,3,N,0
Y,2,1,M,10,3,N,0
N,3,1,S,10,5,N,0
Y,2,2,M,10,4,N,0
N,1,2,S,10,4,N,0
U,2,2,M,10,2,N,0
Y,2,1,M,10,4,N,0
N,2,1,M,10,5,N,0
U,1,1,M,10,2,N,0
N,1,2,M,10,1,N,0
